Institution,Engaged2024,Engaged2025,Engaged2026,EverEngaged,LatestEngagementYear
Universiti Teknologi MARA (UiTM) Raub,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Jengka,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Kuala Terengganu,TRUE,FALSE,FALSE,TRUE,2024
Universiti Teknologi MARA (UiTM) Dungun,TRUE,FALSE,FALSE,TRUE,2024
Universiti Teknologi MARA (UiTM) Kota Bharu,TRUE,FALSE,FALSE,TRUE,2024
Universiti Teknologi MARA (UiTM) Machang,TRUE,FALSE,FALSE,TRUE,2024
Universiti Malaysia Kelantan (UMK),TRUE,TRUE,FALSE,TRUE,2025
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),TRUE,TRUE,TRUE,TRUE,2026
Universiti Malaysia Terengganu (UMT),TRUE,TRUE,TRUE,TRUE,2026
Universiti Sultan Zainal Abidin (UniSZA),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Sultan Mizan Zainal Abidin (PSMZA),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Sultan Haji Ahmad Shah (POLISAS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Kuala Terengganu (PKT),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Kota Bharu (PKB),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Jeli Kelantan (PJK),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Kuantan,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Pasir Mas,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Kemamaman,TRUE,FALSE,FALSE,TRUE,2024
Advanced Technology Training Centre JTM Kuantan,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Kuala Terengganu,TRUE,FALSE,FALSE,TRUE,2024
Advanced Technology Training Centre JTM Kota Bharu,TRUE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Tun Syed Ahmad Shah (TYSA),FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Besut,FALSE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Kemaman,TRUE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Jerantut,FALSE,FALSE,FALSE,FALSE,Never
Politeknik Muadzam Shah (PMS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Metro Kuantan (PMKU),FALSE,FALSE,FALSE,FALSE,Never
Universiti Islam Antarabangsa Sultan Abdul Halim Mu’adzam Shah (UniSHAMS),TRUE,FALSE,FALSE,TRUE,2024
Universiti AIMST (AIMST University),FALSE,FALSE,FALSE,FALSE,Never
Universiti Antarabangsa Albukhary (Albukhary International University),FALSE,TRUE,FALSE,TRUE,2025
Universiti Sultan Azlan Shah (USAS),FALSE,FALSE,FALSE,FALSE,Never
"Universiti Teknologi Petronas (UTP) Seri Iskandar, 32610 Tronoh, Perak",FALSE,TRUE,FALSE,TRUE,2025
Quest International University,FALSE,FALSE,FALSE,FALSE,Never
Universiti Tunku Abdul Rahman (UTAR),TRUE,FALSE,FALSE,TRUE,2024
Universiti Muhammadiyah Malaysia (UMAM),FALSE,FALSE,FALSE,FALSE,Never
Universiti Islam Antarabangsa Tuanku Syed Sirajuddin (UniSIRAJ),FALSE,FALSE,FALSE,FALSE,Never
Universiti Terbuka Wawasan (Wawasan Open University),FALSE,FALSE,FALSE,FALSE,Never
Royal College of Surgeons In Ireland And University College Dublin Malaysia Campus,FALSE,FALSE,FALSE,FALSE,Never
UOW Malaysia KDU Penang University College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Asia Kepimpinan Wanita (Asian Women’s Leadership University College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Teknologi Antarabangsa Twintech (Twintech International University College of Technology),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Komunikasi Han Chiang (Han Chiang University College Of Communication),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi ANS,FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Sungai Petani (UNITAR College Sungai Petani),FALSE,FALSE,FALSE,FALSE,Never
Kolej Meritus (Meritus College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Poly-Tech Mara Alor Setar,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Sg Petani (MSU College Sg Petani),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa KOMPAS,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa TAJ (TAJ International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Ipoh (UNITAR College Ipoh),FALSE,FALSE,FALSE,FALSE,Never
Kolej FELCRA (FELCRA College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Keris ( Keris College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Lake View (Lake View College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Raudhah Bukit Merah,FALSE,FALSE,FALSE,FALSE,Never
Kolej PIA (PIA College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Poly-Tech Mara Ipoh,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway Ipoh (Sunway College Ipoh),FALSE,FALSE,FALSE,FALSE,Never
Sekolah Kejururawatan Hospital Fatimah,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Ipoh (MSU College Ipoh),FALSE,FALSE,FALSE,FALSE,Never
Institut Pengajian Tinggi Islam Perlis (IPTIP),FALSE,FALSE,FALSE,FALSE,Never
Advance Tertiary College Penang,FALSE,FALSE,FALSE,FALSE,Never
Kolej KPJ Healthcare Pulau Pinang (KPJ Healthcare College Penang),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Stradford (Stradford International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Metaverse Universal (KMVU) (Metaverse Universal College (MVUC)),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Penang (UNITAR College Penang),FALSE,FALSE,FALSE,FALSE,Never
Kolej Disted,FALSE,FALSE,FALSE,FALSE,Never
Kolej Equator (Equator College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Integrasi Perkembangan Kemahiran (IPK) (IPK College),FALSE,FALSE,FALSE,FALSE,Never
Kolej INTI Antarabangsa Pulau Pinang (INTI International College Penang),FALSE,FALSE,FALSE,FALSE,Never
Kolej Islam Teknologi Antarabangsa (KITAB),FALSE,FALSE,FALSE,FALSE,Never
Kolej Peninsula Georgetown (Peninsula College Georgetown),TRUE,TRUE,FALSE,TRUE,2025
Kolej Kejururawatan dan Sains Kesihatan Adventist (Adventist College of Nursing and Health Sciences),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kejururawatan Lam Wah Ee,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Penang (MSU College Penang),FALSE,FALSE,FALSE,FALSE,Never
Kolej Pergigian Antarabangsa Pulau Pinang,FALSE,FALSE,FALSE,FALSE,Never
Kolej Veritas Pulau Pinang (Veritas College Penang),FALSE,FALSE,FALSE,FALSE,Never
Kolej SEGi Pulau Pinang,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sentral Pulau Pinang (Sentral College Penang),FALSE,FALSE,FALSE,FALSE,Never
Pusat Pembangunan Kemahiran Pulau Pinang (PSDC),FALSE,FALSE,FALSE,FALSE,Never
The One Academy Penang,FALSE,FALSE,FALSE,FALSE,Never
Kolej Vitrox (Vitrox College),FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Tapah,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Seri Iskandar,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Permatang Pauh,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Arau,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Merbok,FALSE,FALSE,FALSE,FALSE,Never
Universiti Malaysia Perlis (UniMAP),TRUE,FALSE,FALSE,TRUE,2024
Universiti Pendidikan Sultan Idris (UPSI),TRUE,FALSE,FALSE,TRUE,2024
Universiti Sains Malaysia (USM),TRUE,FALSE,FALSE,TRUE,2024
Universiti Utara Malaysia (UUM),TRUE,FALSE,FALSE,TRUE,2024
Politeknik Balik Pulau (PBU),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Ungku Omar (PUO),TRUE,FALSE,FALSE,TRUE,2024
Politeknik Tuanku Syed Sirajuddin (PTSS),TRUE,FALSE,FALSE,TRUE,2024
Politeknik Tuanku Sultanah Bahiyah (PTSB),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Sultan Azlan Shah (PSAS),FALSE,TRUE,FALSE,TRUE,2025
Politeknik Sultan Abdul Halim Mu’adzam Shah (POLIMAS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Seberang Perai (PSP),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Bagan Datuk (PBD),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi Malaysia Balik Pulau,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Lenggong,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Perai,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Kepala Batas,TRUE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Kangar,TRUE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Jitra,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Ipoh,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Arumugam Pillai Nibong Tebal,TRUE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Sungai Petani,FALSE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Sik,FALSE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Seberang Perai Utara,TRUE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Lumut,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Berseri,TRUE,TRUE,FALSE,TRUE,2025
Institut Kemahiran MARA Alor Setar,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Taiping,TRUE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Kulim,FALSE,TRUE,FALSE,TRUE,2025
Politeknik Metro Tasek Gelugor (PMTG),FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Teluk Intan,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Arau,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Bagan Datuk,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Bagan Serai,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Baling,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Bandar Baharu,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Bandar Darulaman,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Bandar Darulaman Cawangan Jerlun,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Batu Gajah,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Chenderoh,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Gerik,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Gopeng,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Jerai,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Kangar,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Kuala Kangsar,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Kulim,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Langkawi @ Langkawi Tourism Academy,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Manjung,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Padang Terap,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Pasir Salak,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Sik,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Sungai Petani,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Sungai Siput,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Sungai Siput Cawangan Lenggong,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Taiping,FALSE,FALSE,FALSE,FALSE,Never
Kolej Komuniti Tapah,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi Sarawak (UTS),FALSE,FALSE,FALSE,FALSE,Never
"Universiti UCSI, Kampus Sarawak (UCSI University, Sarawak Campus)",FALSE,TRUE,FALSE,TRUE,2025
Swinburne University of Technology Sarawak Campus,FALSE,TRUE,FALSE,TRUE,2025
Curtin University,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Borneo Utara (KUBU),FALSE,TRUE,FALSE,TRUE,2025
Kolej Universiti Yayasan Sabah (KUYS),FALSE,TRUE,FALSE,TRUE,2025
Kolej Universiti Jesselton (Jesselton University College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti AMC,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti i-CATS (i-CATS University College (i-CATS UC)),FALSE,FALSE,FALSE,FALSE,Never
Institut Sains dan Pengurusan,FALSE,FALSE,FALSE,FALSE,Never
Institut Seni Sabah (Sabah Institute of Art),FALSE,FALSE,FALSE,FALSE,Never
Institut Sinaran,FALSE,FALSE,FALSE,FALSE,Never
Kinabalu Commercial College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Almacrest (Almacrest International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Cyberjaya Kota Kinabalu,FALSE,FALSE,FALSE,FALSE,Never
Kolej ATI (ATI College),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Kota Kinabalu (UNITAR College Kota Kinabalu),TRUE,FALSE,FALSE,TRUE,2024
Kolej Eastern,FALSE,FALSE,FALSE,FALSE,Never
"Kolej Geomatika Keningau, Sabah (Geomatika College Keningau, Sabah)",FALSE,FALSE,FALSE,FALSE,Never
Kolej INTI Sabah,FALSE,FALSE,FALSE,FALSE,Never
Kolej I-Systems Kota Kinabalu,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kiara (Kiara College),FALSE,FALSE,FALSE,FALSE,Never
Kolej MAHSA Kampus Sabah,TRUE,FALSE,FALSE,TRUE,2024
Kolej MSU Sabah (MSU College Sabah),FALSE,FALSE,FALSE,FALSE,Never
Kolej SIDMA,FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Yayasan Sabah (Yayasan Sabah College of Technology),FALSE,FALSE,FALSE,FALSE,Never
Kolej Pengurusan Perniagaan Kotaraya (City College of Business Management),FALSE,FALSE,FALSE,FALSE,Never
Akademi Maritim Sarawak (Sarawak Maritime Academy),FALSE,FALSE,FALSE,FALSE,Never
Institut Methodist Pilley (Methodist Pilley Institute),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi Kreatif LimKokWing Cawangan Sarawak,FALSE,FALSE,FALSE,FALSE,Never
Kolej Bandar Regal (Regal City College),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi RIAM,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Fajar,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa FAME (FAME International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Teknologi Lanjutan Sarawak (ICATS) Cawangan Miri,FALSE,FALSE,FALSE,FALSE,Never
Kolej Cyberjaya Kuching (Cyberjaya College Kuching),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Kuching (UNITAR College Kuching),FALSE,FALSE,FALSE,FALSE,Never
Kolej Eksekutif (Executive College),FALSE,FALSE,FALSE,FALSE,Never
Kolej IBS,FALSE,FALSE,FALSE,FALSE,Never
Kolej I-Systems Kuching,FALSE,FALSE,FALSE,FALSE,Never
Kolej Laila Taib,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Sarawak (MSU College Sarawak),FALSE,FALSE,FALSE,FALSE,Never
Kolej SATT,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sedamai,FALSE,FALSE,FALSE,FALSE,Never
Kolej SEGi Sarawak,FALSE,FALSE,FALSE,FALSE,Never
Kolej SIDMA Sarawak (SIDMA College Sarawak),FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway Kuching (Sunway College Kuching),FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Sarawak,FALSE,FALSE,FALSE,FALSE,Never
Kolej Yahos (Yahos College),FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Kapit,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Bintulu,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Mukah,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Samarahan (1 & 2),FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Sandakan,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Tawau,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Kota Kinabalu,FALSE,FALSE,FALSE,FALSE,Never
Universiti Malaysia Sabah (UMS),TRUE,FALSE,FALSE,TRUE,2024
Universiti Malaysia Sarawak (UNIMAS),TRUE,FALSE,FALSE,TRUE,2024
Politeknik Mukah (PMU),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Kuching Sarawak (PKS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Kota Kinabalu (PKK),FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Sandakan,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Miri,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Labuan,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Kota Samarahan,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Kota Kinabalu,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Kuching,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Kota Kinabalu,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Bintulu,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Bintulu,FALSE,FALSE,FALSE,FALSE,Never
Politeknik Sandakan (PSS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Metro Betong Sarawak (PMBS),FALSE,FALSE,FALSE,FALSE,Never
